,user_id,views,level,kills,br_rank,br_mmr,ar_rank,ar_mmr,legend
864,JayWillSlayy,3130 views,1891.0,81560.0,Apex Predator,16578.0,Diamond 3,6952AP,Lifeline
865,TerminalCFG,25 views,910.0,8111.0,Apex Predator,18547.0,Bronze 4,0AP,Lifeline
866,Mihoteao,385 views,1869.0,8326.0,Apex Predator,17378.0,Silver 1,3128AP,Octane
867,ThePapiTV,464 views,1243.0,2289.0,Apex Predator,16983.0,Bronze 4,0AP,Loba
868,zxcboqwe,13 views,124.0,828.0,Apex Predator,16582.0,Bronze 4,0AP,Mad Maggie
869,SynSlayy,3130 views,1891.0,81560.0,Apex Predator,16578.0,Diamond 3,6952AP,Lifeline
870,TerminalCFG,25 views,910.0,8111.0,Apex Predator,18547.0,Bronze 4,0AP,Lifeline
871,Mihoteao,385 views,1869.0,8326.0,Apex Predator,17378.0,Silver 1,3128AP,Octane
872,daipanman1224,267 views,760.0,6875.0,Apex Predator,16531.0,Bronze 4,0AP,Ash
873,WakeAndJakeOTL,779 views,978.0,6661.0,Apex Predator,17100.0,Bronze 4,0AP,Octane
874,doublewwwwww0,364 views,1195.0,19409.0,Apex Predator,16554.0,Bronze 4,0AP,Wraith
875,Roar_KyKy1,134 views,2649.0,37420.0,Apex Predator,16549.0,Bronze 4,0AP,Wraith
876,shemanos,886 views,1213.0,5734.0,Apex Predator,16548.0,Bronze 4,0AP,Bangalore
877,OzaOnCrack,1624 views,1354.0,12118.0,Apex Predator,17335.0,Platinum 2,5899AP,Pathfinder
878,Daspama,268 views,2265.0,16.0,Apex Predator,16658.0,Silver 2,2577AP,Pathfinder
879,Restia_TIA,7031 views,2411.0,37496.0,Apex Predator,16518.0,Bronze 4,0AP,Wraith
880,Melltage,4843 views,2882.0,1620.0,Apex Predator,17157.0,Bronze 4,0AP,Valkyrie
881,withoutSPRIT,1613 views,2028.0,36664.0,Apex Predator,16508.0,Bronze 3,631AP,Bangalore
882,lildd223,2399 views,2654.0,22421.0,Master,16505.0,Bronze 4,0AP,Pathfinder
883,Tierneywastaken,518 views,768.0,7142.0,Apex Predator,16504.0,Platinum 3,5285AP,Pathfinder
